LSOA_Code,LSOA_Name,LADcode,Local_authority_name,pop_2001,pop_2011,Median_House_Prices_2001,Median_House_Prices_2011,All_cat_qual_2001,Level_4_qualifications_and_above_2001,All_cat_qual_2011,Level_4_qualifications_and_above_2011,All_categories_NS_SeC_2001,X1_Higher_managerial_administrative_and_professional_occupations_2001,All_categories_NS_SeC_2011,X1_Higher_managerial_administrative_and_professional_occupations_2011,Median_income_2001,Median_income_2011
E01000032,BarkingandDagenham002B,E09000002,Barking and Dagenham,1561,1629,100500,234000,1120,127,1277,245,1123,52,1157,88,25590,36230
E01000033,BarkingandDagenham006A,E09000002,Barking and Dagenham,1232,1361,82500,165000,840,55,998,142,839,29,919,31,23260,33730
E01000034,BarkingandDagenham003A,E09000002,Barking and Dagenham,1493,1444,106000,180000,952,71,1130,167,953,37,944,54,25370,36300
E01000035,BarkingandDagenham010A,E09000002,Barking and Dagenham,1387,1610,96000,205500,1024,81,1237,259,1025,49,1119,53,25940,37170
E01000036,BarkingandDagenham010B,E09000002,Barking and Dagenham,1350,1353,84000,172000,957,94,1053,240,959,47,980,46,26110,38460
E01000037,BarkingandDagenham003B,E09000002,Barking and Dagenham,1594,1688,105500,195000,1162,129,1424,264,1163,65,1329,75,28620,40510
E01000038,BarkingandDagenham003C,E09000002,Barking and Dagenham,1503,1447,114995,222500,1065,74,1157,178,1064,52,1021,57,27310,38390
E01000039,BarkingandDagenham003D,E09000002,Barking and Dagenham,1537,1603,102000,175000,1131,169,1275,282,1134,90,1144,88,29520,38810
E01000040,BarkingandDagenham019A,E09000002,Barking and Dagenham,1376,1569,76750,184500,1000,80,1193,243,1001,29,1096,41,21890,33570
E01000041,BarkingandDagenham017A,E09000002,Barking and Dagenham,1539,1682,75500,163500,1075,50,1216,208,1075,22,1150,48,22660,33500
E01000042,BarkingandDagenham017B,E09000002,Barking and Dagenham,1288,1788,64950,159000,854,102,1270,258,851,35,1189,57,22330,32270
E01000043,BarkingandDagenham019B,E09000002,Barking and Dagenham,1245,1358,85995,217500,896,98,1006,193,892,41,913,46,23990,34390
E01000044,BarkingandDagenham016D,E09000002,Barking and Dagenham,1592,1798,78000,175000,1149,225,1338,321,1151,61,1253,66,25530,35370
E01000045,BarkingandDagenham017C,E09000002,Barking and Dagenham,1488,1650,76000,156500,1046,92,1194,261,1041,34,1130,60,23070,34060
E01000046,BarkingandDagenham017D,E09000002,Barking and Dagenham,1561,1779,82750,168000,1123,92,1278,212,1122,45,1188,47,23430,33080
E01000048,BarkingandDagenham021B,E09000002,Barking and Dagenham,1549,1783,52998,124475,1000,152,1129,220,998,31,1096,25,18950,28270
E01000049,BarkingandDagenham021C,E09000002,Barking and Dagenham,1532,1820,80475,147500,1001,126,1171,242,997,49,1112,43,20010,29960
E01000050,BarkingandDagenham019C,E09000002,Barking and Dagenham,1480,1661,74475,191000,1041,176,1215,320,1039,57,1112,71,22220,32130
E01000051,BarkingandDagenham021D,E09000002,Barking and Dagenham,1515,1927,59950,156000,982,134,1270,291,984,31,1252,40,19210,28400
E01000052,BarkingandDagenham019D,E09000002,Barking and Dagenham,1687,2014,78995,165500,1261,194,1486,366,1260,66,1385,62,23320,32570
E01000053,BarkingandDagenham020A,E09000002,Barking and Dagenham,1420,1485,60000,145000,1000,129,1119,231,999,48,1029,51,23950,33100
E01000054,BarkingandDagenham018A,E09000002,Barking and Dagenham,1564,1718,77500,170498,1120,72,1265,210,1113,32,1150,44,22560,34260
E01000055,BarkingandDagenham018B,E09000002,Barking and Dagenham,1525,1553,76000,164000,1018,77,1161,214,1016,31,1093,44,22790,34210
E01000056,BarkingandDagenham018C,E09000002,Barking and Dagenham,1436,1584,76000,157000,930,70,1136,188,930,42,1048,42,23030,33890
E01000057,BarkingandDagenham012A,E09000002,Barking and Dagenham,1317,1496,75500,165000,880,61,1059,225,876,29,987,34,22700,33940
E01000058,BarkingandDagenham018D,E09000002,Barking and Dagenham,1496,1849,79000,175000,1011,61,1362,292,1014,22,1284,43,21770,34470
E01000059,BarkingandDagenham013C,E09000002,Barking and Dagenham,1575,1582,78248,147000,1043,72,1172,192,1042,34,1050,51,22440,33460
E01000060,BarkingandDagenham006B,E09000002,Barking and Dagenham,1563,1809,83500,120000,1009,67,1310,245,1013,41,1174,60,22130,32960
E01000061,BarkingandDagenham006C,E09000002,Barking and Dagenham,1662,1776,58000,154998,1023,113,1189,204,1021,35,1154,41,21360,29130
E01000062,BarkingandDagenham006D,E09000002,Barking and Dagenham,1692,1952,79000,175000,1150,84,1464,282,1150,46,1299,92,22820,33600
E01000063,BarkingandDagenham004A,E09000002,Barking and Dagenham,1563,1620,79995,163500,1056,71,1201,177,1055,49,1101,43,22870,32930
E01000064,BarkingandDagenham006E,E09000002,Barking and Dagenham,1603,1893,77000,170498,1130,64,1442,256,1129,39,1252,67,22590,32390
E01000065,BarkingandDagenham007A,E09000002,Barking and Dagenham,1566,1736,73875,168000,1045,62,1346,232,1041,34,1157,50,22120,31210
E01000066,BarkingandDagenham011A,E09000002,Barking and Dagenham,1438,1928,116000,228000,1010,127,1440,317,1008,66,1323,90,28830,39010
E01000067,BarkingandDagenham011B,E09000002,Barking and Dagenham,1483,1969,129000,262157,1047,127,1517,358,1048,54,1394,105,29910,40040
E01000068,BarkingandDagenham016E,E09000002,Barking and Dagenham,1484,1590,130000,247500,1083,208,1258,333,1077,71,1171,93,28940,41560
E01000069,BarkingandDagenham011C,E09000002,Barking and Dagenham,1412,1763,135498,286250,1002,94,1355,321,1002,74,1267,105,31130,42310
E01000070,BarkingandDagenham011D,E09000002,Barking and Dagenham,1529,1975,140000,265000,1143,188,1558,401,1149,102,1410,106,31240,41110
E01000071,BarkingandDagenham011E,E09000002,Barking and Dagenham,1544,2253,115998,269000,1150,213,1714,484,1154,99,1571,142,30630,39900
E01000072,BarkingandDagenham017E,E09000002,Barking and Dagenham,1508,1991,75498,160000,1019,53,1441,235,1020,29,1331,39,22770,31020
E01000073,BarkingandDagenham012B,E09000002,Barking and Dagenham,1521,1619,70995,152500,1017,49,1182,202,1019,24,1074,43,22200,33160
E01000074,BarkingandDagenham012C,E09000002,Barking and Dagenham,1492,1567,76995,170000,1005,53,1129,188,1007,34,1052,44,22780,33140
E01000075,BarkingandDagenham012D,E09000002,Barking and Dagenham,1620,1732,79250,205000,1144,73,1300,200,1139,34,1204,51,22840,33810
E01000076,BarkingandDagenham012E,E09000002,Barking and Dagenham,1642,1988,74500,169500,1162,59,1383,222,1160,26,1296,48,22060,32160
E01000077,BarkingandDagenham008F,E09000002,Barking and Dagenham,1533,1445,74995,166000,1024,66,1104,172,1025,33,1031,40,23030,32110
E01000078,BarkingandDagenham007B,E09000002,Barking and Dagenham,1562,1666,75000,180250,1085,62,1221,190,1083,36,1144,40,22630,32430
E01000079,BarkingandDagenham009E,E09000002,Barking and Dagenham,1512,1546,72500,159500,1034,72,1135,204,1033,27,1026,39,22720,32480
E01000080,BarkingandDagenham007C,E09000002,Barking and Dagenham,1420,1556,78500,164995,960,67,1159,183,953,25,1062,34,22650,32220
E01000081,BarkingandDagenham007D,E09000002,Barking and Dagenham,1622,1688,74995,161500,1123,66,1270,193,1122,36,1173,38,22680,33260
E01000082,BarkingandDagenham007E,E09000002,Barking and Dagenham,1450,1683,78500,96000,945,60,1231,187,947,24,1158,41,22020,33340
E01000083,BarkingandDagenham007F,E09000002,Barking and Dagenham,1473,1700,77000,180500,1035,71,1243,201,1034,34,1155,42,22470,32870
E01000084,BarkingandDagenham013D,E09000002,Barking and Dagenham,1353,1355,81500,155500,926,53,990,172,925,35,920,35,23100,33520
E01000085,BarkingandDagenham013E,E09000002,Barking and Dagenham,1542,1718,72000,146000,1092,68,1238,198,1092,41,1162,31,22660,31730
E01000086,BarkingandDagenham013F,E09000002,Barking and Dagenham,1357,1431,76995,168400,947,55,1052,199,950,27,985,33,22790,34260
E01000087,BarkingandDagenham020B,E09000002,Barking and Dagenham,1328,1341,81995,157000,918,74,1001,174,915,41,942,40,23060,33830
E01000088,BarkingandDagenham020C,E09000002,Barking and Dagenham,1593,1828,77000,174250,1111,110,1367,300,1108,45,1216,56,24610,35690
E01000089,BarkingandDagenham020D,E09000002,Barking and Dagenham,1619,1666,75000,150000,1120,70,1214,256,1119,42,1143,43,24870,34930
E01000090,BarkingandDagenham020E,E09000002,Barking and Dagenham,1468,1584,78000,158000,1020,101,1128,260,1020,38,1068,39,24540,35550
E01000091,BarkingandDagenham022A,E09000002,Barking and Dagenham,1476,1714,79500,182500,1008,96,1168,206,1005,38,1069,45,21740,30860
E01000092,BarkingandDagenham019E,E09000002,Barking and Dagenham,1432,2674,84500,180000,1002,118,1925,521,1004,47,1773,102,23510,34850
E01000093,BarkingandDagenham022B,E09000002,Barking and Dagenham,1374,1547,67498,187500,938,94,1115,212,937,31,1048,37,21170,31020
E01000094,BarkingandDagenham022C,E09000002,Barking and Dagenham,1357,1326,82000,139000,971,194,926,346,973,65,922,62,24370,35620
E01000095,BarkingandDagenham018E,E09000002,Barking and Dagenham,1407,1572,86748,160000,1025,162,1110,297,1024,66,1061,81,25500,35960
E01000096,BarkingandDagenham022D,E09000002,Barking and Dagenham,1501,1895,80000,152000,1000,91,1236,245,997,34,1188,33,22740,31070
E01000097,BarkingandDagenham023C,E09000002,Barking and Dagenham,1491,1683,80000,167000,979,82,1272,229,981,26,1089,53,23200,33780
E01000098,BarkingandDagenham023D,E09000002,Barking and Dagenham,1467,1746,80750,167500,1043,63,1276,221,1041,39,1186,43,23380,33300
E01000099,BarkingandDagenham023E,E09000002,Barking and Dagenham,1511,1732,78000,184000,1055,75,1283,233,1056,31,1191,61,23040,34610
E01000100,BarkingandDagenham004B,E09000002,Barking and Dagenham,1441,1653,75500,160750,1008,67,1196,196,1008,33,1114,44,22950,33830
E01000101,BarkingandDagenham004C,E09000002,Barking and Dagenham,1398,1513,78000,158000,942,54,1148,210,941,27,1078,41,22720,33320
E01000102,BarkingandDagenham007G,E09000002,Barking and Dagenham,1467,1540,74950,158000,968,57,1157,215,972,45,1057,55,22990,33890
E01000103,BarkingandDagenham014A,E09000002,Barking and Dagenham,1536,1685,62998,185000,1002,125,1241,256,1003,41,1179,45,23030,32220
E01000104,BarkingandDagenham014B,E09000002,Barking and Dagenham,1711,1781,59995,147500,1091,90,1280,186,1088,28,1216,38,21940,31660
E01000105,BarkingandDagenham014C,E09000002,Barking and Dagenham,1749,2129,68500,159000,1175,77,1591,276,1170,30,1441,58,21940,30900
E01000106,BarkingandDagenham014D,E09000002,Barking and Dagenham,1719,1968,51750,105000,1188,111,1473,289,1185,48,1355,63,22050,31400
E01000107,BarkingandDagenham010C,E09000002,Barking and Dagenham,1505,1666,89998,184000,1050,81,1281,198,1055,51,1117,62,25090,35570
E01000108,BarkingandDagenham010D,E09000002,Barking and Dagenham,1500,1558,65495,165000,1139,103,1229,241,1141,56,1156,58,24820,35200
E01000109,BarkingandDagenham004D,E09000002,Barking and Dagenham,1614,1686,90000,182000,1092,97,1268,241,1092,57,1190,56,25890,36940
E01000110,BarkingandDagenham002C,E09000002,Barking and Dagenham,1399,1416,123000,230000,1032,146,1121,294,1032,67,1026,88,28770,40760
E01000111,BarkingandDagenham002D,E09000002,Barking and Dagenham,1712,1833,62000,160000,1156,104,1394,280,1154,51,1256,66,25540,36090
E01000112,BarkingandDagenham002E,E09000002,Barking and Dagenham,1500,1871,73000,195000,1060,146,1467,362,1066,71,1357,96,27290,37290
E01000113,BarkingandDagenham002F,E09000002,Barking and Dagenham,1517,1679,102498,224000,1131,177,1275,333,1136,82,1196,88,28590,38690
E01000114,BarkingandDagenham004E,E09000002,Barking and Dagenham,1862,2090,89750,182000,1388,118,1549,295,1389,69,1450,81,26170,36990
E01000115,Barnet009A,E09000003,Barnet,1423,1484,255000,472000,1046,311,1202,447,1045,152,1066,187,31110,43890
E01000116,Barnet009B,E09000003,Barnet,1610,1718,183225,340000,1125,272,1335,440,1129,123,1228,152,28380,40180
E01000117,Barnet010A,E09000003,Barnet,1536,1819,175000,335000,1115,227,1502,500,1113,89,1314,160,26860,37810
E01000118,Barnet010B,E09000003,Barnet,1611,1936,168000,330000,1149,282,1512,510,1155,121,1390,169,27500,38340
E01000119,Barnet009C,E09000003,Barnet,1434,1680,222500,432500,1085,347,1354,540,1085,137,1241,195,30120,41920
E01000120,Barnet009D,E09000003,Barnet,1420,1504,216000,475000,1054,317,1191,457,1056,135,1081,177,30310,42420
E01000121,Barnet010C,E09000003,Barnet,1309,1497,155000,200000,833,133,1116,244,836,62,988,61,24900,32850
E01000122,Barnet009E,E09000003,Barnet,1374,1471,210000,383750,1009,360,1173,469,1011,153,1088,171,30000,41310
E01000123,Barnet010D,E09000003,Barnet,1553,1664,148225,285000,1174,326,1349,457,1171,153,1283,151,28130,37200
E01000124,Barnet010E,E09000003,Barnet,1400,1621,146000,240000,1040,289,1279,410,1040,96,1206,129,25810,33870
E01000125,Barnet024A,E09000003,Barnet,1504,2779,112000,208250,1041,235,2106,543,1035,59,1957,128,20210,29120
E01000126,Barnet026A,E09000003,Barnet,1544,2162,134975,199950,921,239,1544,439,921,70,1485,84,20650,28270
E01000127,Barnet024B,E09000003,Barnet,1449,1505,112250,230000,985,180,1143,283,982,48,1074,49,20660,29050
E01000128,Barnet024C,E09000003,Barnet,1624,1869,124950,249500,1129,211,1377,315,1127,76,1283,68,21460,30460
E01000129,Barnet024D,E09000003,Barnet,1493,1782,113000,212500,1002,162,1381,267,1000,38,1252,53,19160,27720
E01000130,Barnet021A,E09000003,Barnet,1540,1603,66978,233000,1112,238,1216,315,1116,78,1183,80,21850,31010
E01000131,Barnet024E,E09000003,Barnet,1533,1806,146500,270000,1175,350,1432,424,1175,127,1342,123,23810,31990
E01000132,Barnet021B,E09000003,Barnet,1430,1478,121825,223750,925,141,1072,217,925,54,1027,53,21180,30800
E01000133,Barnet021C,E09000003,Barnet,1581,1601,115000,235500,1119,173,1215,254,1117,47,1125,57,20560,29660
E01000134,Barnet024F,E09000003,Barnet,1545,1632,120250,214975,1090,260,1253,339,1095,104,1181,80,21940,29990
E01000135,Barnet038A,E09000003,Barnet,1422,1564,320000,435000,990,524,1293,644,990,195,1123,228,34370,44720
E01000136,Barnet038B,E09000003,Barnet,1442,1532,287475,2825000,1001,574,1240,699,1000,234,1040,267,37470,59440
E01000137,Barnet041A,E09000003,Barnet,1511,1729,115000,312000,1040,295,1318,436,1040,97,1177,134,24770,32720
E01000138,Barnet040A,E09000003,Barnet,1377,1449,250000,455000,1013,416,1151,393,1010,113,1063,118,27330,36840
E01000139,Barnet041B,E09000003,Barnet,1350,1429,182500,900000,1008,464,1181,553,1007,192,1103,186,29470,39690
E01000140,Barnet041C,E09000003,Barnet,1416,1631,160000,340500,1120,577,1399,664,1116,229,1296,187,29530,36780
E01000141,Barnet039A,E09000003,Barnet,1506,2104,160250,330000,1199,471,1709,631,1196,157,1656,167,26810,32420
E01000142,Barnet040B,E09000003,Barnet,1551,2381,139500,217500,1163,506,1913,769,1164,171,1770,262,28220,35040
E01000143,Barnet041D,E09000003,Barnet,1359,1459,135000,1450000,1056,258,1139,342,1056,72,1077,75,23890,33110
E01000144,Barnet038C,E09000003,Barnet,1424,1538,200000,382000,1095,620,1284,713,1093,228,1201,226,31250,43950
E01000145,Barnet037A,E09000003,Barnet,1431,1517,262475,610000,941,467,1118,485,940,183,992,164,33410,42520
E01000146,Barnet038D,E09000003,Barnet,1472,1716,309750,834938,1135,651,1460,746,1135,229,1352,253,31500,41460
E01000147,Barnet030A,E09000003,Barnet,1500,1734,169950,335000,1123,319,1449,441,1121,104,1335,130,24280,33560
E01000148,Barnet030B,E09000003,Barnet,1450,1873,107500,206000,1049,296,1507,451,1049,77,1421,105,21500,29610
E01000150,Barnet036A,E09000003,Barnet,1497,2060,97000,197500,1134,290,1663,547,1135,116,1532,144,23670,32180
E01000151,Barnet026B,E09000003,Barnet,1589,1711,103000,250000,1058,242,1159,294,1057,63,1127,51,19710,27600
E01000152,Barnet026C,E09000003,Barnet,1614,1729,105000,221000,1061,222,1135,260,1065,63,1116,45,21000,27520
E01000153,Barnet026D,E09000003,Barnet,1529,1541,106475,240000,1073,204,1157,263,1073,48,1107,55,20280,28650
E01000154,Barnet026E,E09000003,Barnet,1557,1360,110000,213000,1074,213,1030,265,1074,50,979,63,19600,27200
E01000155,Barnet030D,E09000003,Barnet,1531,1880,87000,171950,1288,533,1487,562,1282,156,1452,157,23210,31300
E01000156,Barnet022A,E09000003,Barnet,1459,1875,169500,334000,1084,452,1511,765,1086,176,1418,230,28740,39510
E01000157,Barnet022B,E09000003,Barnet,1372,1541,119500,238725,1041,412,1235,559,1041,139,1172,151,26650,36450
E01000158,Barnet015A,E09000003,Barnet,1410,1470,137000,303000,1015,316,1158,452,1014,112,1098,109,26970,37580
E01000159,Barnet015B,E09000003,Barnet,1491,1777,133000,427750,1117,330,1392,533,1120,128,1271,166,27630,39500
E01000160,Barnet015C,E09000003,Barnet,1441,2061,149950,375000,1142,507,1693,858,1139,243,1654,340,30880,41330
E01000161,Barnet015D,E09000003,Barnet,1505,1821,178995,293250,1158,386,1550,616,1157,244,1413,188,29120,37190
E01000162,Barnet015E,E09000003,Barnet,1447,1599,199875,345000,970,289,1291,409,977,102,1146,110,27600,37290
E01000163,Barnet022C,E09000003,Barnet,1442,1558,88000,188000,1104,360,1252,388,1103,111,1211,94,24230,32340
E01000164,Barnet022D,E09000003,Barnet,1500,1686,95000,292250,1137,291,1289,438,1137,108,1225,113,24280,33790
E01000165,Barnet022E,E09000003,Barnet,1437,1862,180000,340000,1148,489,1479,608,1146,235,1427,226,29770,37990
E01000166,Barnet003A,E09000003,Barnet,1516,1582,180000,327500,1106,289,1256,462,1112,124,1144,183,28220,39390
E01000167,Barnet002A,E09000003,Barnet,1475,1307,125000,232500,1027,153,1052,265,1026,78,977,93,24980,34740
E01000168,Barnet003B,E09000003,Barnet,1522,1564,240000,445000,1078,305,1276,499,1075,144,1140,207,29740,43090
E01000169,Barnet003C,E09000003,Barnet,1493,1490,106000,307750,1158,378,1212,499,1157,155,1121,180,28100,39600
E01000170,Barnet006A,E09000003,Barnet,1530,1636,124950,235000,1133,264,1288,406,1134,106,1172,151,26270,36870
E01000171,Barnet006B,E09000003,Barnet,1514,1849,125675,197000,1186,387,1429,564,1185,170,1379,167,27530,36200
E01000172,Barnet003D,E09000003,Barnet,1638,1677,188000,318475,1147,368,1312,543,1144,131,1185,162,29230,40750
E01000173,Barnet006C,E09000003,Barnet,1657,1719,180475,354707,1188,305,1344,486,1194,115,1256,166,28240,40240
E01000174,Barnet006D,E09000003,Barnet,1470,1728,99100,268000,1084,284,1368,431,1084,101,1265,137,26490,36110
E01000175,Barnet006E,E09000003,Barnet,1517,1585,167000,335000,1120,317,1256,512,1122,142,1138,186,29310,40940
E01000176,Barnet027A,E09000003,Barnet,1519,1613,95000,382500,1037,289,1294,403,1037,75,1187,112,24920,34160
E01000177,Barnet029A,E09000003,Barnet,1407,1628,187663,350000,1122,582,1357,797,1121,230,1287,265,30770,42630
E01000178,Barnet027B,E09000003,Barnet,1529,1791,260498,520000,1135,571,1410,716,1134,209,1267,241,30490,41350
E01000179,Barnet029B,E09000003,Barnet,1457,1614,140000,345000,1239,649,1344,804,1237,260,1294,253,29630,42100
E01000180,Barnet029C,E09000003,Barnet,1480,1607,172500,319000,1075,428,1326,624,1078,172,1188,205,27790,38810
E01000181,Barnet029D,E09000003,Barnet,1519,1711,177500,732500,1216,659,1401,845,1215,222,1319,299,30680,45890
E01000182,Barnet029E,E09000003,Barnet,1490,1691,193250,328750,1184,699,1431,877,1180,251,1320,314,29860,43220
E01000183,Barnet033A,E09000003,Barnet,1397,1473,163750,430000,993,487,1192,691,996,208,1025,252,31260,45880
E01000184,Barnet027C,E09000003,Barnet,1343,1414,111000,193000,972,242,1061,305,968,85,1005,85,24350,33140
E01000185,Barnet029F,E09000003,Barnet,1393,1447,135000,207750,972,260,1156,373,970,66,1092,85,22890,32220
E01000186,Barnet014A,E09000003,Barnet,1507,1612,260000,476000,1092,268,1172,487,1086,164,1080,190,31870,43250
E01000187,Barnet014B,E09000003,Barnet,1589,1657,195000,415000,1078,274,1231,416,1078,129,1084,169,28410,38650
E01000188,Barnet014C,E09000003,Barnet,1491,1554,307500,450000,1083,331,1238,510,1082,179,1127,240,32480,44020
E01000189,Barnet014D,E09000003,Barnet,1508,1814,92000,243000,982,213,1296,328,983,50,1248,70,22330,31430
E01000190,Barnet014E,E09000003,Barnet,1520,1579,288000,455000,1062,273,1204,484,1059,139,1083,205,30280,41870
E01000191,Barnet014F,E09000003,Barnet,1370,1525,184000,495000,982,317,1196,520,983,171,1056,220,30260,42710
E01000192,Barnet018A,E09000003,Barnet,1503,1850,132000,245000,1067,354,1469,564,1066,190,1292,213,29170,37510
E01000193,Barnet018B,E09000003,Barnet,1431,1709,210000,440000,992,324,1363,533,991,142,1235,195,29460,38270
E01000194,Barnet018C,E09000003,Barnet,1383,1640,149750,307500,1055,340,1317,455,1054,135,1230,127,27410,35590
E01000195,Barnet013A,E09000003,Barnet,1516,1788,93000,156000,1120,210,1341,324,1126,77,1276,113,23380,31470
E01000196,Barnet028A,E09000003,Barnet,1464,1802,155000,330000,1141,567,1595,765,1138,224,1423,218,30260,40680
E01000197,Barnet023A,E09000003,Barnet,1519,1830,179640,369500,1255,587,1498,725,1257,212,1428,231,30650,41870
E01000198,Barnet025A,E09000003,Barnet,1661,1893,186000,250000,1193,491,1428,691,1190,196,1313,262,31140,43490
E01000199,Barnet025B,E09000003,Barnet,1491,1617,196250,765000,1080,467,1293,655,1079,214,1114,258,32850,45740
E01000200,Barnet028B,E09000003,Barnet,1620,1845,206000,435000,1161,548,1560,745,1166,208,1292,297,31960,43400
E01000201,Barnet028C,E09000003,Barnet,1462,1531,295000,1042500,1043,415,1230,584,1044,173,1103,235,34940,51120
E01000202,Barnet028D,E09000003,Barnet,1540,1751,295000,575000,1138,535,1382,746,1137,233,1265,290,32670,46690
E01000203,Barnet028E,E09000003,Barnet,1551,1718,157500,350000,1135,425,1347,537,1134,138,1227,172,29040,39830
E01000204,Barnet025C,E09000003,Barnet,1504,1728,177000,385000,1120,554,1435,761,1117,243,1311,296,32520,43580
E01000205,Barnet035A,E09000003,Barnet,1443,1522,312500,632000,1027,541,1160,656,1024,251,1064,274,36090,50700
E01000206,Barnet033B,E09000003,Barnet,1557,1576,1587500,1850000,977,481,1250,636,974,200,1069,260,51680,72430
E01000207,Barnet033C,E09000003,Barnet,1514,1583,600000,1205000,1078,575,1246,693,1080,251,1107,282,38090,55210
E01000208,Barnet033D,E09000003,Barnet,1501,1594,225000,439500,1092,579,1283,749,1095,258,1141,305,35920,52080
E01000209,Barnet035B,E09000003,Barnet,1499,1563,330000,617500,1092,618,1291,798,1088,264,1064,287,35940,49950
E01000210,Barnet033E,E09000003,Barnet,1404,1548,312000,717500,981,575,1171,716,987,253,1071,279,35580,51120
E01000211,Barnet035C,E09000003,Barnet,1552,2014,156250,305000,1173,565,1706,774,1173,199,1568,225,30470,40730
E01000212,Barnet035D,E09000003,Barnet,1344,1428,307500,1067500,1003,582,1138,714,1000,215,1041,249,38310,52340
E01000213,Barnet033F,E09000003,Barnet,1405,1438,1030000,2203500,907,431,1050,601,908,204,957,259,49520,68560
